Sentence,Sentiment
"the geosolutions technology will leverage benefon s gps solutions by providing location based search technology , a communities platform , location relevant multimedia content and a new and powerful commercial model .",1
"esi on lows, down 1.50 to 2.50 bk a real possibility",-1
"for the last quarter of 2010 , componenta s net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of eur7m .",1
"according to the finnish-russian chamber of commerce , all the major construction companies of finland are operating in russia .",0
"the swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in finland .",0
spy wouldn t be surprised to see a green close,1
shell s 70 billion bg deal meets shareholder skepticism,-1
"ssh communications security corp stock exchange release october 14 , 2008 at 2 45 pm the company updates its full year outlook and estimates its results to remain at loss for the full year .",-1
kone s net sales rose by some 14 % year-on-year in the first nine months of 2008 .,1
"the stockmann department store will have a total floor space of over 8,000 square metres and stockmann s investment in the project will have a price tag of about eur 12 million .",0
circulation revenue has increased by 5 % in finland and 4 % in sweden in 2008 .,1
sap q1 disappoints as software licenses down. real problem cloud growth trails msft orcl goog crm adbe,-1
"the subdivision made sales revenues last year of eur 480.7 million eur 414.9 million in 2008 , and operating profits of eur 44.5 million eur 7.4 million .",1
viking line has canceled some services .,0
"ahlstrom corporation stock exchange announcement 7.2.2007 at 10.30 a total of 56,955 new shares of ahlstrom corporation have been subscribed with option rights under the company s stock option programs i 2001 and ii 2001 .",0
fb gone green on day,1
msft sql server revenue grew double-digit with sql server premium revenue growing over 30%,1
"according to l nnen tehtaat s ceo matti karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",0
the company s share is quoted on nasdaq omx helsinki rautaruukki oyj rtrks .,0
elcoteq se is listed on the nasdaq omx helsinki ltd. .,0
two of these contracts are for turntable anode vibrocompactors that will be delivered to gansu hualu aluminum co ltd and another unnamed costumer .,0
"aviva, friends life top forecasts ahead of 5.6 billion pound merger",1
"in stead of being based on a soft drink , as is usual , the teho energy drink is made with fresh water .",0
the company plans to increase the unit s specialist staff to several dozen -- depending on the market situation during 2010 .,0
the company closed last year with a turnover of about four million euros .,0
shire ceo steps up drive to get baxalta board talking,1
costco a premier retail dividend play cost,1
"the five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. it will also include apartments .",0
"the first installment of the cinema series concludes with a profile of finnish inventor olavi linden , whose personal artistic journey and work at fiskars has led to dozens of design awards .",0
all are welcome .,0
"stockmann and swedish sector company ab lindex entered into an agreement on september 30 , 2007 , whereby stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of lindex s issued shares .",1
"huhtamaki oyj stock exchange release , 16.9.2008 at 13.32 huhtamaki s capital markets day for institutional investors and analysts is held in espoo , september 16 , 2008 starting at 13.30 pm finnish time .",0
we are pleased to welcome tapeks noma into cramo group .,1
- profit before taxes was eur 105.9 82.7 million .,0
royal dutch shell to buy bg group for nearly 70 billion,1
"financialwire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",0
assa abloy kaupthing bank gave a neutral recommendation and a share price target of 174 crowns 24.7 - 19 euro on swedish lock maker assa abloy ab .,0
"the item included restructuring costs of eur1 .6 m , while a year earlier they were eur13 .1 m. diluted eps stood at eur0 .3 versus a loss per share of eur 0.1 .",1
in 2005 the bank posted a net profit of lt 8.2 mn .,0
aapl afternoon selloff as usual will be brutal. get ready to lose a ton of money.,-1
tsla recalling pretty much every single model x got to short that even at work you jump in money trade,-1
"dolce gabbana has asked the european union to declare marimekko corporation s unikko floral pattern trademark invalid , in a continuing dispute between the two companies .",-1
intercontinental hotels first-quarter global room revenue lags estimates,-1
"according to finnish pension insurance company varma , varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in finland .",1
"a portion , 12.5 million , will be recorded as part of its winnings in a prior patent dispute with finnish phone maker nokia oyj .",1
"l g still paying price for dividend cut during crisis, chief says",-1
the volume of investments in the two phases of the project is estimated at usd 300mn eur 215.03 mn .,0
"russia accounted for 9 % of the lagardere magazine division s revenue , or eur 114.40 mn usd 148.11 mn in 2009 , the usa - for 18 % .",0
the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .,1
profit of the accounting period was eur 0.3 mn .,0
"the six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",1
"in august-october 2010 , the company s result before taxes totalled eur 9.6 mn , up from eur 0.5 mn in the corresponding period in 2009 .",1
"systeemitiimi s sales and project resources will also be strengthened , director paul skogberg said .",1
tesco share price jumps as q3 sales top estimates,1
the fine print is here .,0
the price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,1
"thus , sysopen digia has , in accordance with chapter 14 section 21 of the finnish companies act 29.9.1978 - 734 , obtained title to all the shares of sentera that are to be redeemed .",0
diluted earnings per share eps fell to eur 0.63 from eur 1.71 .,0
"at 3 37 p.m. eastern time , a block of 2,400 contracts changed hands at a bid price of 0.45 .",0
"some of the most recent technology deliveries include refinery technology to anrak aluminium , an iron ore pelletizing plant to tata steel and iron ore sintering plants to bhushan steel .",0
vips similar pattern like beginning of may. did u sell same now..will go up much higher after this drop.,1
the firm generated sales of 187 mln eur in 2005 .,0
"stora enso has also had meetings with the labor authorities , employment and economic development centres and representatives of the government in order to find solutions .",0
astrazeneca profit down as sales of stalwarts fade,-1
"rt chartology yahoo yhoo crazy looking chart, but nearing breakout resistance line...",1
most bullish stocks on twitter during this dip. yhoo gdx googl stz gold ew vz celg sbux scty more,1
"finnish geosentric s net sales decreased to eur 939,000 in january-march 2009 .",-1
"cohen steers , inc. 5 534 626 shares representing 4.985 % of the share capital and voting rights .",0
more staff has been recruited in japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,1
"paper companies were in negative territories , with stora enso r shedding 1.62 pct to 12.73 eur , upm-kymmene down 0.80 pct at 18.64 eur and m-real b 0.18 pct lower at 5.57 eur .",0
kauko-telko s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year .,0
operating profit for the quarter april-june 2006 amounted to eur182 .2 m on sales of eur3 .62 bn .,0
